iter	Passed	Remaining
897	1833	208
898	1835	206
899	1836	204
900	1838	202
901	1840	199
902	1841	197
903	1843	195
904	1845	193
905	1846	191
906	1848	189
907	1850	187
908	1851	185
909	1853	183
910	1855	181
911	1857	179
912	1858	177
913	1860	175
914	1862	172
915	1863	170
916	1865	168
917	1867	166
918	1868	164
919	1870	162
920	1872	160
921	1873	158
922	1875	156
923	1877	154
924	1878	152
925	1881	150
926	1882	148
927	1884	146
928	1886	144
929	1887	142
930	1889	140
931	1890	137
932	1892	135
933	1894	133
934	1895	131
935	1897	129
936	1898	127
937	1900	125
938	1901	123
939	1903	121
940	1904	119
941	1906	117
942	1908	115
943	1910	113
944	1911	111
945	1913	109
946	1914	107
947	1916	105
948	1918	103
949	1920	101
950	1922	99
951	1923	96
952	1925	94
953	1926	92
954	1928	90
955	1929	88
956	1931	86
957	1932	84
958	1934	82
959	1936	80
960	1937	78
961	1939	76
962	1941	74
963	1943	72
964	1944	70
965	1946	68
966	1948	66
967	1949	64
968	1951	62
969	1952	60
970	1954	58
971	1955	56
972	1957	54
973	1958	52
974	1960	50
975	1962	48
976	1963	46
977	1965	44
978	1966	42
979	1968	40
980	1970	38
981	1971	36
982	1973	34
983	1974	32
984	1976	30
985	1978	28
986	1980	26
987	1981	24
988	1983	22
989	1984	20
990	1986	18
991	1988	16
992	1989	14
993	1991	12
994	1993	10
995	1994	8
996	1996	6
997	1998	4
998	2000	2
999	2001	0
